Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Влох;Хома;Олександрович;Ч;2002-06-24;Музикант; Ніжин;провулок Юннатів 2-й, буд. 1, Ніжин, 53904;+380 (80) 583-67-03;solomiia86@example.org
Стус;Олена;Євгенівна;Ж;1965-04-25;Електромонтер; Дунаївці;проспект Маразліївська, буд. 0 кв. 1, Дунаївці, 28820;088 773 24 55;mzaporozhets@example.com
Ящук;Захар;Володимирович;Ч;1989-10-04;Юрист; Каховка;узвіз Аркадіївський, буд. 23, Каховка, 97225;+380 61 465-52-71;eabrahamovskyi@example.com
Байда;Юстим;Тимофійович;Ч;1958-03-31;Зоолог; Ковель;сквер Фруктовий, буд. 4, Ковель, 90347;569-14-42;demian78@example.com
Саченко;Наталія;Євгенівна;Ж;1996-03-16;Фрілансер; Мар'їнка;сквер Варненська, буд. 1, Мар'їнка, 27833;745-91-20;kovalenkomykhailo@example.org
Івасюк;Нестор;Федорович;Ч;1993-11-07;Гірник; Селидове;парк Молокова, буд. 504 кв. 4, Селидове, 66029;+380 36 925-20-88;vanchenkohalyna@example.net
Деркач;Михайло;Юрійович;Ч;1962-06-03;Дерун; Ялта;провулок Макарова, буд. 878, Ялта, 46374;+380 51 999-76-24;danylokabanenko@example.net
Міщенко;Тереза;Петрівна;Ж;1988-03-12;Бібліотекар; Володимир-Волинський;шосе Крушельницької, буд. 16 кв. 6, Володимир-Волинський, 69883;+380 27 935-19-46;wlutsenko@example.net
Демиденко;Віолетта;Іванівна;Ж;1961-07-08;Штукатур; Новомосковськ;площа Садова 6-та, буд. 007 кв. 60, Новомосковськ, 07280;233 54 36;masokhaherman@example.net
Артюх;Лілія;Євгенівна;Ж;1968-10-14;Доцент; Часів Яр;вулиця Гаршина, буд. 120 кв. 216, Часів Яр, 16819;+380 (71) 427-82-39;mykhailo65@example.com
Гунько;Орися;Георгіївна;Ж;1955-09-02;Єгер; Хорол ;вулиця Грецька, буд. 1 кв. 5, Хорол , 91812;925 03 72;voblyihordii@example.org
Ткаченко;Едуард;Федорович;Ч;1978-06-16;Географ; Березань ;провулок 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 211 кв. 050, Березань , 33355;+380 59 812-39-91;borysmakarenko@example.org
Батуринець;Златослава;Андріївна;Ж;1989-02-09;Ріелтор; Гадяч;сквер Обривиста, буд. 66 кв. 288, Гадяч, 85962;699 63 17;cdanko@example.com
Ґерус;Ілля;Федорович;Ч;2002-02-02;Хореограф; Костопіль;провулок Горіхова, буд. 79 кв. 30, Костопіль, 26349;198 73 10;babiibohdan@example.com
Деркач;Христина;Федорівна;Ж;1959-09-15;Ювелір; Бровари;проспект Компасний, буд. 893, Бровари, 64447;064 027 58 07;zlatoslavapavlyk@example.net
Єрошенко;Григорій;Васильович;Ч;1962-01-08;Антрополог; Снігурівка;парк Грецький, буд. 3, Снігурівка, 72450;023 410-04-76;makar09@example.com
Франчук;Богуслав;Олександрович;Ч;1997-05-18;Паралегал; Богуслав;вулиця Керченський 3-й, буд. 24, Богуслав, 84426;024 19 07;lytvynenkoavhustyn@example.com
Макогон;Ганна;Сергіївна;Ж;1944-10-20;Мірошник; Тростянець;сквер Декабристів, буд. 27, Тростянець, 53567;+380 (65) 568-64-87;oleksatarasenko@example.org
Бандера;Трохим;Васильович;Ч;1949-08-17;Петрограф; Канів;узвіз Героїв оборони Одеси, буд. 4 кв. 3, Канів, 81413;+380 12 072-05-26;demianenkoillia@example.com
Щорс;Станіслав;Вікторович;Ч;1977-12-01;Мовознавець; Алупка;сквер Солонцюватий, буд. 52, Алупка, 40447;020 639-46-30;ustym10@example.org
Чорновіл;Аарон;Федорович;Ч;1951-01-20;М'ясник; Бобровиця;проспект Космонавта Комарова, буд. 886, Бобровиця, 74566;018 096-60-29;bishchenko@example.org
Чубай;Віолетта;Володимирівна;Ж;2002-11-11;Юрист; Генічеськ;проспект Юрженка Олександра, буд. 1 кв. 0, Генічеськ, 94170;037 327 55 45;iukhymenkoboryslav@example.org
Авдєєнко;Ольга;Кузьмівна;Ж;1981-09-17;Бібліотекар; Рудки;набережна Михайлівська, буд. 52 кв. 736, Рудки, 93185;+380 45 307-55-57;iaroslavizhakevych@example.net
Ващук;Оксенія;Борисівна;Ж;1969-10-07;Скульптор; Одеса;узвіз Волниста, буд. 01, Одеса, 47984;565 99 16;khoma44@example.org
Корсун;Лесь;Тимофійович;Ч;1952-03-05;Вчитель; Суходільськ;узвіз Лиманчик 2-й Лінія 2-га, буд. 00, Суходільськ, 87183;+380 88 899 04 63;anzhela93@example.com
Кабалюк;Марія;Андріївна;Ж;1953-06-09;Ювелір; Новоград-Волинський;набережна Офіцерський 1-й, буд. 16, Новоград-Волинський, 03538;670 93 65;samoilenkoviktoriia@example.org
Полтавець;Онисим;Юрійович;Ч;1984-07-14;Продюсер; Карлівка;сквер Пейзажна, буд. 32, Карлівка, 01595;+380 (02) 847-60-40;fareniukleopold@example.org
Власюк;Валерій;Федорович;Ч;1996-04-09;Антрополог; Вараш;узвіз Матеріальний 1-й, буд. 8 кв. 3, Вараш, 68408;040 727-19-18;dzhunalla@example.com
Безбородько;Андрій;Юрійович;Ч;1977-09-04;Архітектор; Новояворівськ;парк Новомосковська дорога, буд. 4 кв. 9, Новояворівськ, 63311;154 25 71;ulutsenko@example.com
Александренко;Маруся;Андріївна;Ж;1974-12-11;Кінолог; Корець;сквер Олександра Невського 5-й, буд. 1 кв. 050, Корець, 20915;002 643 78 57;kamilla03@example.net
Фартушняк;Марʼяна;Ярославівна;Ж;1994-02-15;Лікар; Перечин;парк 2-га Лінія Марії Демченко, буд. 2, Перечин, 48433;+380 78 726-65-64;oliinykustym@example.org
Артюх;Ілля;Петрович;Ч;1941-12-05;Ботанік; Жовква;узвіз Лінія 54-та, буд. 6, Жовква, 24028;011 952 69 46;shcherbaknataliia@example.net
Прокопович;Михайлина;Василівна;Ж;1960-03-15;Паралегал; Хорол ;парк Супутників, буд. 54 кв. 771, Хорол , 53579;105 56 25;msymonenko@example.com
Вернигора;Ростислав;Анатолійович;Ч;1993-12-14;Візажист; Зимогір'я;провулок Миколи Плигуна, буд. 4, Зимогір'я, 85213;800 78 69;yzubko@example.net
Овчаренко;Анастасія;Борисівна;Ж;1996-10-14;Льотчик; Мукачево;шосе Кришталева, буд. 17, Мукачево, 02276;+380 41 319 89 91;aivanychuk@example.org
Архипенко;Олександр;Тимофійович;Ч;2006-01-31;Композитор; Бучач;узвіз Баркасний, буд. 17, Бучач, 78987;+380 75 577-72-76;jlupii@example.net
Теличенко;Одарка;Петрівна;Ж;1990-08-21;Випробувач; Березівка;парк Сільськогосподарський, буд. 7 кв. 940, Березівка, 58891;080 430-08-70;wkyrylenko@example.org
Данчук;Альберт;Васильович;Ч;1944-04-10;Диригент; Красноград;проспект Восьмого березня 1-й, буд. 8, Красноград, 75514;+380 (01) 501-24-08;semenchenkotereza@example.net
Шиян;Олег;Юрійович;Ч;1992-04-10;Кур'єр; Зоринськ;площа Нафтовиків 2-й, буд. 4, Зоринськ, 46137;+380 (76) 861-59-29;shunko@example.net
Гавриш;Алла;Дмитрівна;Ж;2001-01-17;Складальник; Бахмач;парк Бабеля, буд. 708 кв. 7, Бахмач, 07890;054 866 55 14;iustymhaidenko@example.org
Ґалаґан;Леонтій;Тимофійович;Ч;1980-10-21;Юрист; Заліщики;набережна Утьосова, буд. 5, Заліщики, 36287;059 859 14 44;iakivoberemko@example.org
Панчук;Євген;Вікторович;Ч;2003-02-11;Патологоанатом; Рахів;вулиця Ольгіївський узвіз, буд. 38, Рахів, 38794;+380 66 703 92 47;sofiiariabchenko@example.net
Приходько;Адам;Дмитрович;Ч;1957-07-20;Мовознавець; Соснівка ;узвіз Салтикова-Щедріна, буд. 70, Соснівка , 08694;998-88-37;nataliiavashchenko@example.com
Семенченко;Варфоломій;Євгенович;Ч;1975-11-17;Бібліограф; Монастириська;парк Градоначальницька, буд. 959, Монастириська, 01018;091 133 62 52;artem53@example.com
Теличенко;Мартин;Євгенович;Ч;2003-09-19;Музичний редактор; Дніпрорудне;парк Пляжна, буд. 8 кв. 795, Дніпрорудне, 54577;+380 (53) 630-82-20;okhrim86@example.net
Пелех;Антон;Володимирович;Ч;1946-09-01;Парфюмер; Ужгород;площа Ільфа і Петрова, буд. 522 кв. 3, Ужгород, 45242;083 110-49-79;emiliiadeineko@example.org
Рябошапка;Богодар;Петрович;Ч;1980-05-31;Зоолог; Алчевськ;сквер Аполона Скальковського, буд. 755 кв. 7, Алчевськ, 95412;094 870-67-97;jverkhovynets@example.com
Євтушок;Віталій;Андрійович;Ч;1993-08-06;Гірничий інженер; Привілля;вулиця Академіка Векслера, буд. 717 кв. 19, Привілля, 54381;+380 67 658 10 42;izhakevychleontii@example.org
Ємельяненко;Світлана;Андріївна;Ж;1984-01-13;Кінорежисер; Погребище;провулок Мічуріна, буд. 99 кв. 859, Погребище, 82667;+380 92 399 01 00;hdemianiuk@example.com
Андрійович;Одарка;Борисівна;Ж;1960-11-13;Бізнесмен; Здолбунів;парк Дальній, буд. 702 кв. 0, Здолбунів, 39497;+380 (36) 660-72-62;albina51@example.net
Яремко;Ігнат;Дмитрович;Ч;1943-05-29;Астроном; Носівка;узвіз Щукіна, буд. 9, Носівка, 26609;+380 (33) 554-16-46;milena97@example.com
Таран;Мирослав;Володимирович;Ч;1961-05-29;Режисер; Решетилівка;шосе Східчастий 4-й, буд. 029, Решетилівка, 94630;+380 10 589-17-94;zlatoslava36@example.org
Рудько;Михайлина;Георгіївна;Ж;1989-09-14;Електрослюсар; Ніжин;шосе Санаторний, буд. 4, Ніжин, 12344;200-01-86;barkhypenko@example.com
Жученко;Охрім;Михайлович;Ч;1972-03-03;Музичний редактор; Шаргород;шосе Глухий міст, буд. 761 кв. 18, Шаргород, 51091;+380 (85) 765-54-82;kovalenkoviktoriia@example.net
Зінчук;Святослава;Василівна;Ж;1972-09-15;Кушнір; Хуст;парк Зоопаркова, буд. 7, Хуст, 77470;523-29-11;stepantytarenko@example.net
Рябовіл;Володимира;Тимофіївна;Ж;1997-01-09;Стоматолог; Вовчанськ;провулок Четверта, буд. 364, Вовчанськ, 77419;+380 56 271-19-99;paliioleh@example.net
Павлик;Едита;Борисівна;Ж;1945-02-10;Співак; Ніжин;сквер Товарний, буд. 44, Ніжин, 34643;+380 73 243-78-94;klavdiia16@example.org
Асаула;Святослава;Георгіївна;Ж;1966-11-22;Мікробіолог; Вовчанськ;шосе Пересипська 9-та, буд. 2 кв. 09, Вовчанськ, 18351;025 094 71 38;deriazhnyiiustyna@example.org
Зайченко;Спас;Аркадійович;Ч;1967-06-20;Геолог; Вознесенськ;проспект Лінія 30-та, буд. 376, Вознесенськ, 67036;+380 82 699 48 98;arkadiibabiichuk@example.org
Ґерус;Орхип;Аркадійович;Ч;2005-12-09;Дипломат; Радехів;шосе Ванний, буд. 0 кв. 211, Радехів, 87993;037 304-24-43;leopoldkyrylenko@example.org
Харченко;Христина;Володимирівна;Ж;1977-12-05;Кінокритик; Новоукраїнка;сквер Анни Ахматової, буд. 593 кв. 061, Новоукраїнка, 01199;+380 01 464 91 86;prokhir29@example.net
Бездітко;Камілла;Федорівна;Ж;1951-03-19;Кінокритик; Долина ;проспект Житкова, буд. 363, Долина , 92935;+380 05 999-65-32;xsamoilenko@example.com
Салій;Любов;Аркадіївна;Ж;1995-09-18;Няня; Лисичанськ;набережна Магнітогорський 3-й, буд. 5, Лисичанськ, 49598;045 695-63-65;zynovii12@example.com
Чубай;Роксолана;Олександрівна;Ж;1943-09-29;Професор; Вознесенівка;провулок Вєтрова, буд. 124, Вознесенівка, 41170;140 66 73;frantsdanyliuk@example.net
Давимука;Орхип;Вікторович;Ч;1990-03-19;Журналіст; Нова Каховка;вулиця Космонавтів, буд. 19 кв. 94, Нова Каховка, 26315;+380 64 714-28-94;abramchukedyta@example.org
Гаврюшенко;Леопольд;Анатолійович;Ч;2005-04-29;Машиніст; Миргород;провулок Проценка, буд. 373 кв. 00, Миргород, 71012;129 12 90;liashkoaaron@example.net
Даниленко;Демʼян;Кузьмич;Ч;1976-09-15;Підприємець; Семенівка;сквер Карантинна, буд. 9 кв. 872, Семенівка, 25101;044 632 99 06;zhuravelvalerii@example.com
Перебийніс;Адам;Олександрович;Ч;1985-07-12;Слідчий; Сквира;площа Лесі Українки, буд. 8, Сквира, 21310;+380 (14) 454-06-92;violetta17@example.net
Вакарчук;Оксенія;Федорівна;Ж;1961-01-01;Журналіст; Нікополь;парк Скляна, буд. 8 кв. 716, Нікополь, 93975;217 88 07;pvanchenko@example.net
Корж;Прохір;Федорович;Ч;1977-09-14;Психолог; Васильків;вулиця Романтиків, буд. 23, Васильків, 78764;+380 16 765-83-81;orkhyp19@example.net
Яценко;Симон;Борисович;Ч;1956-03-07;Патологоанатом; Сніжне;сквер Черняховського, буд. 0 кв. 2, Сніжне, 75588;088 847-46-79;kyrylo80@example.org
Ковпак;Феофан;Ярославович;Ч;1959-08-13;Електрик; Марганець ;парк Путьова, буд. 0 кв. 55, Марганець , 87585;+380 (64) 231-03-01;khrystyna68@example.com
Литвиненко;Дан;Анатолійович;Ч;1940-11-25;Сценарист; Приморськ (Україна);узвіз Лобачевського, буд. 48 кв. 7, Приморськ (Україна), 87594;789 40 44;ostapchukiaroslava@example.net
Бабко;Ілля;Федорович;Ч;1944-09-10;Кур'єр; Радомишль;вулиця Неплія, буд. 4, Радомишль, 09243;+380 78 243-20-04;orysia00@example.org
Ковпак;Розалія;Ярославівна;Ж;1984-10-04;Співак; Кам'янка-Дніпровська;площа Метрополітенівський, буд. 30 кв. 14, Кам'янка-Дніпровська, 36913;413-39-71;vlasenkomykhailo@example.net
Верменич;Роман;Георгійович;Ч;1941-08-23;Фотограф; Вугледар;сквер Старобазарний, буд. 951, Вугледар, 68092;+380 24 097 54 09;erika71@example.com
Титаренко;Єлисей;Георгійович;Ч;1948-09-05;Вчитель; Ладижин;набережна Західний 1-й, буд. 81 кв. 031, Ладижин, 78112;+380 55 790-82-34;dan58@example.com
Байрак;Емілія;Іванівна;Ж;1945-08-17;Бібліограф; Шепетівка;площа Анни Ахматової, буд. 59 кв. 48, Шепетівка, 69254;+380 59 327-61-39;karasliudmyla@example.net
Аврамчук;Ярема;Васильович;Ч;1991-01-30;Редактор; Жовква;вулиця Виноградна 1-ша, буд. 2, Жовква, 79607;+380 65 303-96-67;bevzanastasiia@example.org
Теличенко;Сніжана;Володимирівна;Ж;1955-05-25;Музикант; Новгород-Сіверський;сквер 8-ма Лінія Дачі Ковалевського, буд. 0 кв. 03, Новгород-Сіверський, 28304;097 489 24 57;nadiiaperepelytsia@example.net
Ґоляш;Маруся;Володимирівна;Ж;1980-07-01;Ботанік; Підгородне;набережна Різовська, буд. 586, Підгородне, 76669;065-35-72;priskadutka@example.net
Скиба;Ольга;Сергіївна;Ж;1948-04-18;Ветеринар; Золоте;набережна Онілової, буд. 08 кв. 39, Золоте, 70176;085 627 19 55;liudmyla77@example.org
Ющенко;Станіслав;Михайлович;Ч;1986-02-26;Астроном; Сіверськ;набережна Кипарисний 2-й, буд. 1, Сіверськ, 53617;364 43 02;dashenkozorian@example.org
Кабалюк;Устим;Юрійович;Ч;1974-11-28;Геолог; Іловайськ;парк Миколаївська дорога, буд. 84 кв. 8, Іловайськ, 11307;056 914-75-65;olehkarpenko@example.org
Нестеренко;Христина;Вікторівна;Ж;1965-11-01;Мірошник; Червоносів;вулиця Шахтинський, буд. 3, Червоносів, 11894;+380 88 614-40-38;darahanspas@example.net
Фартушняк;Одарка;Сергіївна;Ж;1951-12-12;Редактор; Волноваха;проспект Марії Демченко, буд. 0, Волноваха, 08717;515-74-41;albertshylo@example.net
Шаблій;Аркадій;Юрійович;Ч;1991-05-03;Фрілансер; Волочиськ;площа Дальня, буд. 186 кв. 14, Волочиськ, 63658;+380 52 066-65-91;lukianbarabash@example.net
Яремчук;Гліб;Аркадійович;Ч;1994-10-21;Візажист; Тисмениця;провулок Семінарська, буд. 022 кв. 807, Тисмениця, 92238;385-32-53;ovashchenko@example.org
Килимник;Тарас;Васильович;Ч;1964-04-04;Прокурор; Алупка;набережна Пілотна, буд. 563 кв. 72, Алупка, 52696;127-06-83;blavrenko@example.net
Ажажа;Олекса;Вікторович;Ч;1964-03-01;Ді-джей; Саки ;сквер Проектна 2-га, буд. 41, Саки , 86666;+380 (15) 888-41-58;makarpavlenko@example.org
Андрійович;Едита;Олександрівна;Ж;1973-04-13;Ріелтор; Лиман ;набережна Бугаївська, буд. 973 кв. 14, Лиман , 69745;050 959 43 58;jkovpak@example.org
Дубенко;Семен;Михайлович;Ч;1951-01-20;Програміст; Селидове;сквер Писарева, буд. 2, Селидове, 82392;044 162-03-75;aromanets@example.net
Сімашкевич;Віталій;Васильович;Ч;1943-05-11;Гицель; Оріхів;провулок Рачкова, буд. 364 кв. 14, Оріхів, 69345;011 72 49;uartemenko@example.org
Оберемко;Панас;Юрійович;Ч;1961-11-25;Живописець; Кам'янка-Дніпровська;сквер Трамвайна, буд. 35, Кам'янка-Дніпровська, 49201;+380 92 574-23-78;zlatoslavakhorishko@example.org
Рубан;Альбіна;Іванівна;Ж;2004-03-31;Журналіст; Алчевськ;провулок Мелітопольська, буд. 679 кв. 6, Алчевськ, 81622;+380 (81) 044-37-05;mariiashablii@example.org
Штокало;Тимофій;Андрійович;Ч;1946-06-27;Пекар; Павлоград;набережна Ольгіївський узвіз, буд. 82, Павлоград, 38094;080 697 78 11;anton57@example.org
Дуплій;Тимофій;Георгійович;Ч;2003-11-13;Біолог; Шпола;шосе Брестська, буд. 58, Шпола, 99640;380 14 23;arkadii99@example.org
Стець;Миколай;Тимофійович;Ч;1975-10-28;Гінеколог; Лиман ;узвіз Чернігівська, буд. 110, Лиман , 76952;+380 02 363-42-40;sviatoslav52@example.org
Їжак;Мирон;Володимирович;Ч;1982-12-12;Локсмайстер; Жданівка;провулок Ванцетті, буд. 72, Жданівка, 57276;403 27 34;ivan90@example.com
Каденюк;Тереза;Георгіївна;Ж;1990-11-24;Детектив; Нова Каховка;проспект Індійська, буд. 041, Нова Каховка, 70620;+380 (45) 798-86-82;iesypenkoboleslav@example.com
Гайда;Захар;Олександрович;Ч;1990-04-15;Диригент; Сторожинець;провулок Люстдорфський, буд. 0 кв. 09, Сторожинець, 37096;+380 72 716-67-65;ievaiaremenko@example.net
Гунько;Нестор;Ярославович;Ч;1982-07-24;Агроном; Малин;узвіз Селищна, буд. 9, Малин, 81735;+380 (16) 420-99-29;glesyk@example.net
Бараник;Азар;Федорович;Ч;1961-09-12;Візажист; Шепетівка;узвіз Лузанівський 1-й, буд. 391 кв. 73, Шепетівка, 08693;008 274 31 23;nosachenkopetro@example.com
Нестеренко;Ярема;Олександрович;Ч;1998-03-09;Музикознавець; Ватутіне;площа Немировича-Данченка, буд. 6 кв. 8, Ватутіне, 25160;+380 75 887 07 85;bshcherbak@example.org
Данькевич;Соломон;Кузьмич;Ч;1978-12-14;Електрослюсар; Яготин;парк Тюльпанний, буд. 718, Яготин, 11912;+380 89 749 28 23;suprunenkostefan@example.net
Корпанюк;Павло;Георгійович;Ч;1963-03-15;Фрілансер; Ходорів;проспект Щіпний, буд. 661, Ходорів, 40998;175-67-68;demianzatula@example.net
Засуха;Оксенія;Петрівна;Ж;1992-10-17;Паралегал; Токмак;парк Будівельна, буд. 3 кв. 6, Токмак, 28505;+380 08 148-89-44;gilchenko@example.net
Зінченко;Амвросій;Кузьмич;Ч;2000-01-11;Архітектор; Гірник ;провулок Інглезі, буд. 11 кв. 8, Гірник , 99892;083 183 61 01;umanetserika@example.net
Ґерета;Азар;Олександрович;Ч;1985-11-03;Агроном; Кролевець;шосе Залізнична, буд. 13 кв. 56, Кролевець, 38950;+380 22 263-77-30;otarasenko@example.com
Дейсун;Одарка;Тимофіївна;Ж;1958-02-05;Фотограф; Покров;площа Квіткова, буд. 656 кв. 038, Покров, 34594;344-89-87;andrii47@example.org
Рябовіл;Андрій;Євгенович;Ч;1943-08-19;Фармацевт; Великі Мости;проспект Бахчева, буд. 4 кв. 09, Великі Мости, 27708;+380 (99) 202-11-28;spaszhaivoron@example.com
Дейнека;Валентина;Андріївна;Ж;1950-11-05;Літературознавець; Кременчук;вулиця 15-та Суворовська, буд. 8, Кременчук, 90883;024 922-00-86;irynahuz@example.net
Ващенко;Ірена;Ярославівна;Ж;1941-10-01;Кінорежисер; Вільногірськ;проспект Рівності, буд. 0 кв. 0, Вільногірськ, 36088;033 227-02-47;lytvynsvitlana@example.org
Ільєнко;Борислав;Олександрович;Ч;1999-05-07;Реставратор; Сорокине;шосе Рішельєвська, буд. 93, Сорокине, 53238;093 935 79 44;zlatoslava63@example.net
Тесля;Алла;Василівна;Ж;1947-09-29;Золотар; Тисмениця;провулок Троїцького Миколи, буд. 02 кв. 795, Тисмениця, 13464;032 630-18-52;terezachornovil@example.org
Онуфрієнко;Демид;Аркадійович;Ч;1952-05-21;Музикознавець; Горохів;узвіз Хаджибейський 3-й, буд. 6, Горохів, 78165;+380 18 207 76 46;tereshchukiefrem@example.com
Ірванець;Дан;Борисович;Ч;1997-07-16;Гірник; Городок;набережна Маячний, буд. 0, Городок, 11512;002 629-96-12;banduraedyta@example.net
Рева;Святослав;Вікторович;Ч;1975-08-30;Мікробіолог; Камінь-Каширський;шосе Туристська, буд. 6, Камінь-Каширський, 27798;+380 48 675-03-55;lytvynvolodymyr@example.org
Худяк;Борислав;Михайлович;Ч;1996-03-30;Складальник; Красногорівка;площа Скляний 2-й, буд. 21, Красногорівка, 97458;840-77-21;vasylyna23@example.net
Атаманчук;Юстим;Борисович;Ч;1952-03-06;Кінорежисер; Березань ;набережна Каманіна, буд. 73, Березань , 49541;078 546-91-23;redkoserhii@example.net
Павлик;Тимофій;Михайлович;Ч;1969-11-14;Різноробочий; Глухів;вулиця Лінія 30-та, буд. 55 кв. 7, Глухів, 54472;826 53 40;qtsisyk@example.com
Ісаєвич;Ігнат;Дмитрович;Ч;1970-09-07;Вчитель; Олешки;провулок Косовська, буд. 71, Олешки, 34992;131 81 64;liza88@example.com
Яременко;Віра;Олександрівна;Ж;1961-12-10;Живописець; Мелітополь;проспект Лінія 54-та, буд. 0, Мелітополь, 46131;+380 68 405-70-20;teodor10@example.net
Ващук;Мартин;Юрійович;Ч;1990-10-30;Інженер; Мена ;проспект Проектний 5-й, буд. 0 кв. 7, Мена , 37437;043 303 10 05;rkovalenko@example.net
Сірченко;Ярослава;Ярославівна;Ж;1967-10-06;Будник; Василівка ;проспект Маршрутна, буд. 47 кв. 100, Василівка , 26791;+380 (58) 137-06-64;bohuslava19@example.net
Михайличенко;Вікторія;Євгенівна;Ж;1998-02-10;Юрист; Кіцмань;узвіз Капітана Кузнецова, буд. 00 кв. 5, Кіцмань, 46981;055 86 88;eartiushenko@example.org
Комар;Богуслава;Дмитрівна;Ж;1996-06-06;Музикант; Макіївка;проспект Гонтаренко, буд. 240, Макіївка, 67866;+380 (25) 880-95-70;adaholoborodko@example.com
Кабалюк;Онисим;Олександрович;Ч;1973-07-31;Кур'єр; Барвінкове;шосе Капітана Кузнецова, буд. 193 кв. 2, Барвінкове, 42601;+380 92 665-97-53;demianenkooleh@example.net
Рудик;Орест;Васильович;Ч;2005-11-03;Намотувальник; Новомосковськ;проспект Локомотивний 3-й, буд. 0 кв. 479, Новомосковськ, 21967;208 28 20;ktkachenko@example.com
Вітрук;Охрім;Олександрович;Ч;2004-06-11;Перекладач; Калинівка ;провулок Спиридонівська, буд. 338 кв. 292, Калинівка , 55372;712-60-47;ievaiaremkiv@example.com
Романчук;Богуслава;Петрівна;Ж;2000-11-24;Фотограф; Краматорськ;провулок Маршала Бабаджаняна, буд. 678, Краматорськ, 10777;+380 42 962-68-24;hordii94@example.com
Вернидуб;Зиновій;Борисович;Ч;1946-11-02;Музикант; Жданівка;сквер 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 32, Жданівка, 48813;+380 61 891-81-52;bkovpak@example.net
Данченко;Альбіна;Борисівна;Ж;1987-09-06;Геолог; Зимогір'я;набережна Чорноморський 5-й, буд. 9 кв. 67, Зимогір'я, 76444;+380 (43) 998-41-16;nrudyk@example.com
Гузенко;Єлисавета;Вікторівна;Ж;1971-10-07;Електрослюсар; Чоп;узвіз Транспортна, буд. 73 кв. 17, Чоп, 71072;082 132-75-16;jiemelianenko@example.com
Гунько;Болеслав;Вікторович;Ч;1952-01-20;Гірник; Тетіїв;провулок Польова, буд. 561, Тетіїв, 79503;+380 (05) 542-85-30;svyrydenkoteodor@example.com
Гайдамака;Ганна;Петрівна;Ж;1942-02-01;Мірошник; Лохвиця;провулок Штурвальна, буд. 3 кв. 389, Лохвиця, 56013;+380 46 744-32-82;hlib51@example.org
Радченко;Демʼян;Аркадійович;Ч;1999-10-04;Круп'є; Алмазна;сквер Ползунова 1-й, буд. 284 кв. 8, Алмазна, 95881;+380 25 137-13-51;spryimak@example.org
Філіпенко;Ярослава;Анатоліївна;Ж;1982-08-05;Каскадер; Богодухів;площа Картамишевський, буд. 665 кв. 89, Богодухів, 72634;247-41-13;mveres@example.com
Юхименко;Йосип;Петрович;Ч;1944-08-27;Випробувач; Жмеринка;парк Трудова, буд. 77, Жмеринка, 09368;079 197 23 29;kanivetsanita@example.org
Джунь;Андрій;Іванович;Ч;2000-02-08;Зоолог; Хотин;шосе Посмітного, буд. 89, Хотин, 87773;056 140 72 24;zakhar18@example.org
Вакуленко;Соломія;Федорівна;Ж;1946-03-05;Бухгалтер; Вашківці;набережна Манежна, буд. 7 кв. 84, Вашківці, 78805;+380 (19) 094-99-46;panteleimonsirko@example.net
Гупало;Аркадій;Дмитрович;Ч;1943-01-16;Пілот; Перемишляни;набережна Ключовий 2-й, буд. 436 кв. 903, Перемишляни, 05469;+380 50 907-40-91;rozaliia58@example.net
Демʼяненко;Амвросій;Дмитрович;Ч;1995-01-24;Професор; Боково-Хрустальне;шосе Перемоги, буд. 683, Боково-Хрустальне, 06288;+380 26 807-70-44;xfareniuk@example.com
Скиба;Опанас;Дмитрович;Ч;2001-10-30;Дизайнер; Галич;набережна 2-га Суворовська, буд. 155 кв. 324, Галич, 28486;096 590-36-17;taras76@example.net
Охримович;Альбіна;Сергіївна;Ж;1958-02-27;Мистецтвознавець; Дніпрорудне;шосе Посівна, буд. 55 кв. 51, Дніпрорудне, 77249;044 37 68;voblyiiryna@example.com
Юрченко;Спас;Борисович;Ч;1958-11-13;Геофізик; Нововолинськ;площа Василя Кандинського 5-й, буд. 338 кв. 848, Нововолинськ, 79491;+380 27 279-57-32;hennadiiarkhymovych@example.org
Колодуб;Розалія;Ярославівна;Ж;1977-06-18;Паблік рилейшнз; Кролевець;провулок Варненська, буд. 4, Кролевець, 88955;+380 04 345-88-55;demian74@example.com
Малишко;Назар;Михайлович;Ч;1966-07-24;Нотаріус; Сновськ;шосе Мацієвської, буд. 061 кв. 87, Сновськ, 32404;+380 93 072-16-63;tymofii93@example.net
Дробʼязко;Анжела;Борисівна;Ж;1966-07-10;Астронавт; Калинівка ;сквер Хімічний 2-й, буд. 8 кв. 08, Калинівка , 89935;866-59-88;miatseniuk@example.org
Єременко;Нестор;Тимофійович;Ч;1950-01-07;Бібліограф; Заставна;провулок 2-га Лінія Марії Демченко, буд. 742 кв. 09, Заставна, 48637;+380 (19) 664-62-77;iaryna24@example.net
Короленко;Пармен;Олександрович;Ч;1959-12-03;Археолог; Білгород-Дністровський;набережна Ушинського, буд. 8 кв. 60, Білгород-Дністровський, 16272;+380 28 164-18-05;satsiukdan@example.net
